Rowid,Kod,MenuEleman,Aciklama
nYCReTK4,RKE_Teknik,"Çok kirli, deforme olmuş, yırtık",
kjWKTJD2,RKE_Teknik,Dikiş yerlerinde hasar var,
w5jkKUjV,RKE_Teknik,Kullanım Ömrünü Doldurmuş,
ff5a4fb7,RKE_Teknik,Kullanım ve bakım koşullarına uyulmamış,
kWGbbGOU,RKE_Teknik,"Kurşun, etek kısımlarında (aşağıya) toplanmış",
0CelPNJV,RKE_Teknik,Sabitleyici bantlar ve/veya tokalar deforme,
2G2mZgjU,RKE_Teknik,Skopi altında kırık tespit edildi,
xl4Rjlck,RKE_Teknik,Tüm testler normal ekipman kullanıma uygun,
d909f8b9,Amac,Defibrilator,
e05d8a85,Amac,EKG Cihazı,
3iEIOC3E,Amac,Grafi,
vljhrOl5,Amac,Kaset Okuyucu,
DDLr2rLy,Amac,Manyetik Rezonans,
uOvRl97H,Amac,Skopi,
7d5plCOy,Amac,Skopi (Ercp),
YYxpABdP,Amac,Skopi (Eswl),
4d1flwN3,Amac,Ultrasonografi,
MKg3o46s,AnaBilimDali,Anesteziyoloji ve Reanimasyon ABD,ANZ
Ly4oyBaL,AnaBilimDali,Beyin ve Sinir Cerrahisi ABD,NRŞ
FC6cTMsN,AnaBilimDali,Cerrahi Tıp Bilimleri,CTB
lSWeEs1V,AnaBilimDali,Çocuk Sağlığı ve Hastalıkları ABD,CSH
2aGFIvCi,AnaBilimDali,Fiziksel Tıp ve Rehabilitasyon ABD,FTR
OBsI6ple,AnaBilimDali,Genel Cerrahi ABD,GCA
f8RZoK0K,AnaBilimDali,Göğüs Hastalıkları ABD,GHA
I4y1sEF7,AnaBilimDali,İç Hastalıkları ABD,DHL
2uGREkde,AnaBilimDali,Kalp ve Damar Cerrahisi ABD,KDC
jrwjugb4,AnaBilimDali,Kardiyoloji ABD,KRD
jOBJERDD,AnaBilimDali,"KBB, Göz ve Cerrahi Hastanesi",KBB
ftVB7P2M,AnaBilimDali,Mediko Sosyal Başhekimliği,MSB
l6HGZmyr,AnaBilimDali,Ortopedi ve Travmatoloji ABD,ORT
giIe3B9e,AnaBilimDali,Radyoloji ABD,RAD
w0Jrcj34,AnaBilimDali,Üroloji ABD,URO
87338a71,Bakim_Durum,Evet,
87338a72,Bakim_Durum,Hayır,
Rm5Erw9V,Bedeni,L,
jWVR5fuY,Bedeni,M,
oJpJlK1e,Bedeni,Pediatrik,
s1dmmZpO,Bedeni,S,
9tMi4ThT,Bedeni,STN,
JDmokrEO,Bedeni,XL,
sbdSluzn,Bedeni,XS,
dlWCRcbH,Bedeni,Yetişkin,
3U2Y0jct,Birim,Acil Endoskopi Ünitesi,AEU
D7Tn94Se,Birim,Acil Radyoloji,ARAD
ww9LZ34N,Birim,Algoloji Servis,ALG
KjC9Yj4T,Birim,Ameliyathane,AML
RAFYe3UO,Birim,Anjiografi,ANJ
aHEB1WTd,Birim,Endoskopi Ünitesi,ENU
uRrZdR6k,Birim,Gamma Knife Ünitesi,GKU
rBVTS9RF,Birim,Girişimsel Radyoloji Anjiografi,RANJ
kCDnsiJV,Birim,Kemik Yoğunluğu Ölçümü,KYO
y7fRDkmk,Birim,Koroner Anjiografi,KANJ
WBhHP5zV,Birim,Mamografi,MAM
7McZijvH,Birim,Manyetik Rezonans Ünitesi,MRI
xEwJooBR,Birim,Nöroradyoloji Anjiografi,NANJ
94etaK5j,Birim,Pediatrik Radyoloji,PRAD
H8lBKpmb,Birim,Poliklinik,POL
fjKVBW5D,Birim,Radyoloji Depo,RDP
d898f196,Birim,Radyoloji USG,USG
mSo5ZsIg,Birim,Sevisler,SER
cBWHKxCA,Birim,Vatan Yerleşkesi,KBB
Ft3NHplP,Birim,Voiding,VOI
7WMExpo0,Birim,Yoğun Bakım Ünitesi,YBÜ
f6808863,Cihaz_Tipi,Görüntüleme (Diğer),GOR
f6808862,Cihaz_Tipi,Görüntüleme (Radyasyon Kaynaklı),XRY
f6808864,Cihaz_Tipi,Medikal Cihazlar,MED
900b2ae6,Çalışma Koşulu,Çalışma Koşulu A,
e3a71c58,Çalışma Koşulu,Çalışma Koşulu B,
64ab0b68,Garanti_Durum,Evet,
c165c961,Garanti_Durum,Hayır,
2mWSNHcA,Gorev_Yeri,Acil Radyoloji,Çalışma Koşulu A
wgAuSlfZ,Gorev_Yeri,AnaBilim Dalı Başkanı,Çalışma Koşulu B
c9IeANyt,Gorev_Yeri,AnaBilim Dalı Sekreteri,Çalışma Koşulu B
pSot4RUY,Gorev_Yeri,Anjiografi Kayıt,Çalışma Koşulu B
O5WZJI5z,Gorev_Yeri,Bakım Onarım,Çalışma Koşulu B
cWWGS0Lu,Gorev_Yeri,Başhemşire,Çalışma Koşulu B
WHdKw0tM,Gorev_Yeri,Bilim Dalı Başkanı,Çalışma Koşulu B
jg1n6olr,Gorev_Yeri,Dahiliye,Çalışma Koşulu A
mVyhSEUJ,Gorev_Yeri,Danışma,Çalışma Koşulu B
KI0w9ZUc,Gorev_Yeri,Esnaf Has. Yerleşkesi,Çalışma Koşulu A
UV5tr7yj,Gorev_Yeri,Girişimsel Radyoloji,Çalışma Koşulu A
ZEFTaulE,Gorev_Yeri,Gögüs Hastalıkları,Çalışma Koşulu B
0Mb6Nj0I,Gorev_Yeri,Mamografi,Çalışma Koşulu A
V5xTkyrw,Gorev_Yeri,Mamografi Kayıt,Çalışma Koşulu B
FZ0xP3hw,Gorev_Yeri,Manyetik Rezonans,Çalışma Koşulu B
DHtLGlnB,Gorev_Yeri,Ortopedi Ameliyathane,Çalışma Koşulu A
uZeGitdC,Gorev_Yeri,Pediatrik Radyoloji,Çalışma Koşulu B
ZkETf1nC,Gorev_Yeri,Poliklinik,Çalışma Koşulu A
IsDrGTEF,Gorev_Yeri,Radyoloji,Çalışma Koşulu B
b4Y6UKuR,Gorev_Yeri,Radyoloji Kayıt Şef,Çalışma Koşulu B
K0yvwNbK,Gorev_Yeri,Radyoloji Kayit,Çalışma Koşulu B
C9wWDzYL,Gorev_Yeri,Rapor Sekreteri,Çalışma Koşulu B
28nlYxNt,Gorev_Yeri,Seyyar Grafi,Çalışma Koşulu A
Etb7Lisc,Gorev_Yeri,Tomografi,Çalışma Koşulu A
5YWBv3Ss,Gorev_Yeri,Ultrasonografi,Çalışma Koşulu B
efeBf1Ps,Gorev_Yeri,Ultrasonografi Kayıt,Çalışma Koşulu B
SKwldxW3,Gorev_Yeri,Vatan Yerleşkesi,Çalışma Koşulu A
Va9ujcAP,Hizmet_Sinifi,Akademik Personel,
ve4VUaVw,Hizmet_Sinifi,Asistan Doktor,
emAxxVKJ,Hizmet_Sinifi,Hasta Bakımı / Temizlik Hizmetleri,
SKwldxW2,Hizmet_Sinifi,Hemşire,
NBuvaVB5,Hizmet_Sinifi,Radyasyon Görevlisi,
ztkwmDy6,Hizmet_Sinifi,Sekreterya / Memur,
dKsSF10v,İzin_Tipi,Aylıksız İzin - Askerlik Nedeniyle,
r2IGntPn,İzin_Tipi,Aylıksız İzin - Doğum Nedeniyle,
i0M6NNC7,İzin_Tipi,Doğum İzni (Eşinin),10
ao0Kx2d4,İzin_Tipi,Doğum Öncesi İzin,42
WWd1z0Cw,İzin_Tipi,Doğum Sonrası İzin,42
WmcMwHdW,İzin_Tipi,Evlenme-Ölüm İzni,
2b3a4fde,İzin_Tipi,Evlilik İzni,
HZdIfm9U,İzin_Tipi,Heyet Raporu,
1uVpfLkE,İzin_Tipi,İdari İzin,
0dfa3597,İzin_Tipi,İdari İzin (COVID-19),
d30bbbfc,İzin_Tipi,Kongre izni: 3 aya kadar,
65c2c039,İzin_Tipi,Mazeret,
5fe67e55,İzin_Tipi,Rapor İzni,
iypntfZY,İzin_Tipi,Refakatçı İzni,
1lg6ylDc,İzin_Tipi,Şua İzni,30
8h3xmWdL,İzin_Tipi,Tedavi İzni (Yatış Ve Ayaktan),
wZiEkYi6,İzin_Tipi,Yıllık İzin,30
nzAfMtHy,Kadro_Unvani,4D Sürekli İşçi (Temizlik),
4lfIrOjc,Kadro_Unvani,Araştırma Görevlisi,
ciR1H27c,Kadro_Unvani,Bilgisayar İşletmeni,
zxz94hWv,Kadro_Unvani,Büro Personeli,
088f0ee6,Kadro_Unvani,Destek Personeli,
Suy53nUe,Kadro_Unvani,Doçent Doktor,
bsvgTcUg,Kadro_Unvani,Doktor,
t085Vc7C,Kadro_Unvani,Doktor Öğretim Üyesi,
6zDl9Uo4,Kadro_Unvani,Ebe,
BTPiOj5d,Kadro_Unvani,Esnaf Hastanesi,
hUhSGoZx,Kadro_Unvani,Hasta Bakıcı,
HCNTkUMH,Kadro_Unvani,Hemşire,
SA0BY93r,Kadro_Unvani,Hizmetli,
Hz6Fa0Jg,Kadro_Unvani,Laborant,
2CrECP60,Kadro_Unvani,Profesör Doktor,
2DOEEc84,Kadro_Unvani,Radyoloji Teknik Personeli,
NP6EJ97a,Kadro_Unvani,Radyoloji Teknikeri,
PiA71O6E,Kadro_Unvani,Radyoloji Teknisyeni,
vmFtIYn7,Kadro_Unvani,Sağlık Memuru,
yhdyKn4R,Kadro_Unvani,Sağlık Teknikeri,
Fy7easrk,Kadro_Unvani,Sağlık Teknisyeni,
SyLJBFDJ,Kadro_Unvani,Söz.Sağlık Teknikeri,
7ZDjV32t,Kadro_Unvani,Söz.Sağlık Teknisyeni,
HkCEzIJC,Kadro_Unvani,Şef,
SuGm8nbt,Kadro_Unvani,Teknisyen,
d6jyROw4,Kadro_Unvani,Teknisyen Yardımcısı,
fbZf8nby,Kadro_Unvani,Temizlik Görevlisi,
RzHYZvlS,Kadro_Unvani,Tıbbi Sekreter,
Oru7ycw8,Kadro_Unvani,Uzman Doktor,
iJRBEzT9,Kadro_Unvani,Veri Analisti,
lNnjefZU,Kadro_Unvani,Veri Giriş Kayıt Ve Analiz Hizmetleri,
sM7wT23a,Kadro_Unvani,Veri Hazırlama Kontrol İşletmeni,
87338a69,Kalibrasyon_Durum,Evet,
87338a70,Kalibrasyon_Durum,Hayır,
fkKPaoia,Kaynak,Anjiyo,ANJ
D0JvPUFW,Kaynak,C-Kollu,CKL
agPWI3je,Kaynak,CR Cihazı,CRC
dIEZm1MK,Kaynak,Mamografi,MAM
wfg5EM3J,Kaynak,Manyetik Rezonans,MRI
TCITBOf8,Kaynak,Medikal Cihaz,MED
WsLDa8MB,Kaynak,Mobil Bilgisayarlı Tomografi,MCT
uKslkjJJ,Kaynak,Mobil Tek Tüplü Röntgen,MTTR
Bn5lcFob,Kaynak,Tek Tüplü Röntgen,TTR
BVsJW7td,Kaynak,Tomografi,CT
aKT5pDvN,Kaynak,Ultrasonografi,USG
aUVA65Kk,Koruyucu_Cinsi,Gonad Koruyucu,GK
uj4Cj1Kt,Koruyucu_Cinsi,Kurşun Başlık,KB
vzpfhyMl,Koruyucu_Cinsi,Kurşun Eldiven,KE
7PNSrweC,Koruyucu_Cinsi,Kurşun Gözlük,KG
xpA4m9TS,Koruyucu_Cinsi,Kurşun Paravan,KP
IezjrZYB,Koruyucu_Cinsi,Palto (Önlük),O
w9mWazlr,Koruyucu_Cinsi,Tiroid Koruyucu,TK
WE4CkUcG,Koruyucu_Cinsi,Uyarı İşaretleri,UI
zOgR5mOR,Koruyucu_Cinsi,Yelek - Etek,YE
eb355525,Lisans_Durum,Devir,
Mx7lnWvz,Lisans_Durum,Eksik Husus,
WsJVNJs8,Lisans_Durum,Kullanım Dışı (Depo),
kYCt4P2n,Lisans_Durum,Kullanım Dışı (HEK),
CeomIRZw,Lisans_Durum,Lisans Gerekli Değil,
c6AY34nE,Lisans_Durum,Lisansız,
nNDdYjEN,Lisans_Durum,Lisanslı,
sbKa9BdO,Marka,Canon,
5e66ebd5,Marka,CARDİOLİNE S.P.A,
t6HNk9GC,Marka,Dornier,
ed4AuhA0,Marka,DR-RAD,
1602bb43,Marka,Drager,
SMdSO844,Marka,DRGEM,
r4wzTteZ,Marka,FUJİFİLM,
jrUpK7dM,Marka,Gammacell,
4d2dnGzS,Marka,General Electic,
LCIYfiAW,Marka,Gıotto,
VHj6u5gk,Marka,Leksell,
8b197682,Marka,Mindray,
UPc4lKWD,Marka,Neurologica,
tfeHJ9G8,Marka,Philps,
ftiSFDPj,Marka,Samsung,
kPNNOGum,Marka,Shimadzu,
C6dK3m2G,Marka,Siemens,
tHrnLKzl,Marka,Toshiba,
9f1ada64,Marka,Üzümcü,
5yplCAwF,Marka,Ziehm,
b3054d0b,Sistem_DriveID,Ariza_Raporlari,1ZrpeqPU6-lFN7Nhisg3SdO7QN7IvIkn3
fb3bdbc4,Sistem_DriveID,Cihaz_Kunye,19kx3IHTg4XWrYrF-_LzT3BpY5gRy-CH5
b1c78058,Sistem_DriveID,Cihaz_Resim,1-PznDkBqOHTbE3rWBlS8g2HjZXaK6Sdh
d70d5f65,Sistem_DriveID,Kalibrasyon_Raporlari,1VNVa0ZMfadpgAqJE6wfvkAw0XIHDv4-J
8050ce40,Sistem_DriveID,Cihaz_Lisanslar,1eOq_NfrjN_XwKirUuX_0uyOonk137HjF
b1c78060,Sistem_DriveID,Personel_Diploma,1YlFMqoKwcSsB_fv9osU3sWsTlAlGHF3L
b1c78059,Sistem_DriveID,Personel_Dosya,1R7EjtH9gg9hgaJbCrqRX9DBdEHtmCPNN
94fc2d66,Sistem_DriveID,Personel_Resim,1GLp4IongyBjr0yPd789ryrFdN2Ml6yCG
e789b09e,Sistem_DriveID,RKE_Raporlari,1tRoXh5eMUGWUFw0mG9CKvyWxWg5kdxGi
b1c78061,Sistem_DriveID,Eski_Personel_Dosyalari,1j9Tyw21yV-wtOcSUr_SO9gULxaPUjOBa
,Sistem_DriveID,RKE_Muayene,
b1c78062,Ariza_Durum,İşlemde,
b1c78063,Ariza_Durum,Parça Bekliyor,
b1c78064,Ariza_Durum,Dış Serviste,
b1c78065,Ariza_Durum,Kapalı (Çözüldü),
b1c78066,Ariza_Durum,Kapalı (İptal),
b1c78067,Ariza_Islem_Turu,Arıza Tespiti / İnceleme,
b1c78068,Ariza_Islem_Turu,Onarım / Tamirat,
b1c78069,Ariza_Islem_Turu,Parça Değişimi,
b1c78070,Ariza_Islem_Turu,Yazılım Güncelleme,
b1c78071,Ariza_Islem_Turu,Kalibrasyon,
b1c78072,Ariza_Islem_Turu,Dış Servis Gönderimi,
b1c78073,Ariza_Islem_Turu,Kapatma / Sonlandırma,
b1c78074,Sistem_DriveID,Saglik_Raporlari,1CAa2cb7PWGXMPkvofBWq1y45SANOjXtq