Rowid,Kod,MenuEleman,Aciklama,sync_status,updated_at
sbt001,Izin_Tipi,Aylıksız İzin - Askerlik Nedeniyle,,clean,
sbt002,Izin_Tipi,Aylıksız İzin - Doğum Nedeniyle,,clean,
sbt003,Izin_Tipi,Doğum İzni (Eşinin),10,clean,
sbt004,Izin_Tipi,Doğum Öncesi İzin,42,clean,
sbt005,Izin_Tipi,Doğum Sonrası İzin,42,clean,
sbt006,Izin_Tipi,Evlenme-Ölüm İzni,,clean,
sbt007,Izin_Tipi,Evlilik İzni,,clean,
sbt008,Izin_Tipi,Heyet Raporu,,clean,
sbt009,Izin_Tipi,İdari İzin,,clean,
sbt010,Izin_Tipi,Kongre izni: 3 aya kadar,,clean,
sbt011,Izin_Tipi,Mazeret,,clean,
sbt012,Izin_Tipi,Rapor İzni,,clean,
sbt013,Izin_Tipi,Refakatçı İzni,,clean,
sbt014,Izin_Tipi,Şua İzni,30,clean,
sbt015,Izin_Tipi,Tedavi İzni (Yatış Ve Ayaktan),,clean,
sbt016,Izin_Tipi,Yıllık İzin,30,clean,
sbt017,Amac,Defibrilator,,clean,
sbt018,Amac,EKG Cihazı,,clean,
sbt019,Amac,Grafi,,clean,
sbt020,Amac,Kaset Okuyucu,,clean,
sbt021,Amac,Manyetik Rezonans,,clean,
sbt022,Amac,Skopi,,clean,
sbt023,Amac,Skopi (Ercp),,clean,
sbt024,Amac,Skopi (Eswl),,clean,
sbt025,Amac,Ultrasonografi,,clean,
sbt026,AnaBilimDali,Beyin ve Sinir Cerrahisi ABD,NRS,clean,
sbt027,AnaBilimDali,Göğüs Hastalıkları ABD,GHA,clean,
sbt028,AnaBilimDali,İç Hastalıkları ABD,DHL,clean,
sbt029,AnaBilimDali,Kalp ve Damar Cerrahisi ABD,KDC,clean,
sbt030,AnaBilimDali,Kardiyoloji ABD,KRD,clean,
sbt031,AnaBilimDali,Ortopedi ve Travmatoloji ABD,ORT,clean,
sbt032,AnaBilimDali,Radyoloji ABD,RAD,clean,
sbt033,AnaBilimDali,Üroloji ABD,URO,clean,
sbt034,Ariza_Durum,İşlemde,,clean,
sbt035,Ariza_Durum,Parça Bekliyor,,clean,
sbt036,Ariza_Durum,Dış Serviste,,clean,
sbt037,Ariza_Durum,Kapalı (Çözüldü),,clean,
sbt038,Ariza_Durum,Kapalı (İptal),,clean,
sbt039,Ariza_Islem_Turu,Arıza Tespiti / İnceleme,,clean,
sbt040,Ariza_Islem_Turu,Onarım / Tamirat,,clean,
sbt041,Ariza_Islem_Turu,Parça Değişimi,,clean,
sbt042,Ariza_Islem_Turu,Yazılım Güncelleme,,clean,
sbt043,Ariza_Islem_Turu,Kalibrasyon,,clean,
sbt044,Ariza_Islem_Turu,Dış Servis Gönderimi,,clean,
sbt045,Ariza_Islem_Turu,Kapatma / Sonlandırma,,clean,
sbt046,Bedeni,L,,clean,
sbt047,Bedeni,M,,clean,
sbt048,Bedeni,Pediatrik,,clean,
sbt049,Bedeni,S,,clean,
sbt050,Bedeni,STN,,clean,
sbt051,Bedeni,XL,,clean,
sbt052,Bedeni,XS,,clean,
sbt053,Bedeni,Yetişkin,,clean,
sbt054,Birim,Acil Radyoloji,ARAD,clean,
sbt055,Birim,Ameliyathane,AML,clean,
sbt056,Birim,Anjiografi,ANJ,clean,
sbt057,Birim,Endoskopi Ünitesi,ENU,clean,
sbt058,Birim,Girişimsel Radyoloji Anjiografi,RANJ,clean,
sbt059,Birim,Koroner Anjiografi,KANJ,clean,
sbt060,Birim,Mamografi,MAM,clean,
sbt061,Birim,Manyetik Rezonans Ünitesi,MRI,clean,
sbt062,Birim,Nöroradyoloji Anjiografi,NANJ,clean,
sbt063,Birim,Poliklinik,POL,clean,
sbt064,Birim,Radyoloji USG,USG,clean,
sbt065,Birim,Yoğun Bakım Ünitesi,YBU,clean,
sbt066,Cihaz_Belge_Tur,NDK Lisansı,,clean,
sbt067,Cihaz_Belge_Tur,RKS Belgesi,,clean,
sbt068,Cihaz_Belge_Tur,Sorumlu Diploması,,clean,
sbt069,Cihaz_Belge_Tur,Kullanım Kılavuzu,,clean,
sbt070,Cihaz_Belge_Tur,Cihaz Sertifikası,,clean,
sbt071,Cihaz_Belge_Tur,Teknik Veri Sayfası,,clean,
sbt072,Cihaz_Belge_Tur,Garanti Belgesi,,clean,
sbt073,Cihaz_Belge_Tur,Diğer,,clean,
sbt074,Personel_Belge_Tur,Diploma,,clean,
sbt075,Personel_Belge_Tur,Sertifika,,clean,
sbt076,Personel_Belge_Tur,Periyodik Muayene Raporu,,clean,
sbt077,Personel_Belge_Tur,İşe Giriş Muayenesi,,clean,
sbt078,Personel_Belge_Tur,Hastalık Raporu,,clean,
sbt079,Personel_Belge_Tur,Dozimetre Sonuçları,,clean,
sbt080,Personel_Belge_Tur,Diğer,,clean,
sbt081,RKE_Belge_Tur,Muayene Raporu,,clean,
sbt082,RKE_Belge_Tur,Kalibrasyon Sertifikası,,clean,
sbt083,RKE_Belge_Tur,Teknik Doküman,,clean,
sbt084,RKE_Belge_Tur,Diğer,,clean,
sbt085,Satin_Alma_Belge_Tur,Teklif,,clean,
sbt086,Satin_Alma_Belge_Tur,Sözleşme,,clean,
sbt087,Satin_Alma_Belge_Tur,Fatura,,clean,
sbt088,Satin_Alma_Belge_Tur,İrsaliye,,clean,
sbt089,Satin_Alma_Belge_Tur,Şartname,,clean,
sbt090,Satin_Alma_Belge_Tur,Diğer,,clean,
sbt091,Kurumsal_Belge_Tur,Yönetmelik,,clean,
sbt092,Kurumsal_Belge_Tur,Prosedür,,clean,
sbt093,Kurumsal_Belge_Tur,Sözleşme,,clean,
sbt094,Kurumsal_Belge_Tur,Akreditasyon Belgesi,,clean,
sbt095,Kurumsal_Belge_Tur,Yazışma,,clean,
sbt096,Kurumsal_Belge_Tur,Diğer,,clean,
sbt097,Cihaz_Tipi,Görüntüleme (Diğer),GOR,clean,
sbt098,Cihaz_Tipi,Görüntüleme (Radyasyon Kaynaklı),XRY,clean,
sbt099,Cihaz_Tipi,Medikal Cihazlar,MED,clean,
sbt100,Gorev_Yeri,Acil Radyoloji,Çalışma Koşulu A,clean,
sbt101,Gorev_Yeri,Esnaf Has. Yerleşkesi,Çalışma Koşulu A,clean,
sbt102,Gorev_Yeri,Girişimsel Radyoloji,Çalışma Koşulu A,clean,
sbt103,Gorev_Yeri,Gögüs Hastalıkları,Çalışma Koşulu A,clean,
sbt104,Hizmet_Sinifi,Akademik Personel,,clean,
sbt105,Hizmet_Sinifi,Asistan Doktor,,clean,
sbt106,Hizmet_Sinifi,Hemşire,,clean,
sbt107,Hizmet_Sinifi,Radyasyon Görevlisi,,clean,
sbt108,Kadro_Unvani,Araştırma Görevlisi,,clean,
sbt109,Kadro_Unvani,Doçent Doktor,,clean,
sbt110,Kadro_Unvani,Doktor,,clean,
sbt111,Kadro_Unvani,Doktor Öğretim Üyesi,,clean,
sbt112,Kadro_Unvani,Ebe,,clean,
sbt113,Kadro_Unvani,Hasta Bakıcı,,clean,
sbt114,Kadro_Unvani,Hemşire,,clean,
sbt115,Kadro_Unvani,Profesör Doktor,,clean,
sbt116,Kadro_Unvani,Radyoloji Teknikeri,,clean,
sbt117,Kadro_Unvani,Radyoloji Teknisyeni,,clean,
sbt118,Kadro_Unvani,Sağlık Memuru,,clean,
sbt119,Kadro_Unvani,Sağlık Teknikeri,,clean,
sbt120,Kadro_Unvani,Sağlık Teknisyeni,,clean,
sbt121,Kadro_Unvani,Teknisyen,,clean,
sbt122,Kadro_Unvani,Uzman Doktor,,clean,
sbt123,Kaynak,Anjiyo,ANJ,clean,
sbt124,Kaynak,C-Kollu,CKL,clean,
sbt125,Kaynak,CR Cihazı,CRC,clean,
sbt126,Kaynak,Mamografi,MAM,clean,
sbt127,Kaynak,Manyetik Rezonans,MRI,clean,
sbt128,Kaynak,Medikal Cihaz,MED,clean,
sbt129,Kaynak,Mobil Bilgisayarlı Tomografi,MCT,clean,
sbt130,Kaynak,Mobil Tek Tüplü Röntgen,MTTR,clean,
sbt131,Kaynak,Tek Tüplü Röntgen,TTR,clean,
sbt132,Kaynak,Tomografi,CT,clean,
sbt133,Kaynak,Ultrasonografi,USG,clean,
sbt134,Koruyucu_Cinsi,Gonad Koruyucu,GK,clean,
sbt135,Koruyucu_Cinsi,Kurşun Başlık,KB,clean,
sbt136,Koruyucu_Cinsi,Kurşun Eldiven,KE,clean,
sbt137,Koruyucu_Cinsi,Kurşun Gözlük,KG,clean,
sbt138,Koruyucu_Cinsi,Kurşun Paravan,KP,clean,
sbt139,Koruyucu_Cinsi,Palto (Önlük),O,clean,
sbt140,Koruyucu_Cinsi,Tiroid Koruyucu,TK,clean,
sbt141,Koruyucu_Cinsi,Uyarı İşaretleri,UI,clean,
sbt142,Koruyucu_Cinsi,Yelek - Etek,YE,clean,
sbt143,Lisans_Durum,Devir,,clean,
sbt144,Lisans_Durum,Eksik Husus,,clean,
sbt145,Lisans_Durum,Kullanım Dışı (Depo),,clean,
sbt146,Lisans_Durum,Kullanım Dışı (HEK),,clean,
sbt147,Lisans_Durum,Lisans Gerekli Değil,,clean,
sbt148,Lisans_Durum,Lisansız,,clean,
sbt149,Lisans_Durum,Lisanslı,,clean,
sbt150,RKE_Teknik,Dikiş yerlerinde hasar var,,clean,
sbt151,RKE_Teknik,Kullanım Ömrünü Doldurmuş,,clean,
sbt152,RKE_Teknik,Kullanım ve bakım koşullarına uyulmamış,,clean,
sbt153,RKE_Teknik,"Kurşun, etek kısımlarında toplanmış",,clean,
sbt154,RKE_Teknik,Sabitleyici bantlar ve tokalar deforme,,clean,
sbt155,RKE_Teknik,Skopi altında kırık tespit edildi,,clean,
sbt156,RKE_Teknik,Tüm testler normal ekipman kullanıma uygun,,clean,
sbt157,Sistem_DriveID,Ariza_Raporlari,,clean,
sbt158,Sistem_DriveID,Cihaz_Kunye,,clean,
sbt159,Sistem_DriveID,Cihaz_Resim,,clean,
sbt160,Sistem_DriveID,Kalibrasyon_Raporlari,,clean,
sbt161,Sistem_DriveID,Cihaz_Lisanslar,,clean,
sbt162,Sistem_DriveID,Personel_Diploma,,clean,
sbt163,Sistem_DriveID,Personel_Dosya,,clean,
sbt164,Sistem_DriveID,Personel_Resim,,clean,
sbt165,Sistem_DriveID,RKE_Raporlari,,clean,
sbt166,Sistem_DriveID,Eski_Personel_Dosyalari,,clean,
sbt167,Sistem_DriveID,RKE_Muayene,,clean,
sbt168,Sistem_DriveID,Saglik_Raporlari,,clean,
sbt169,Sistem_DriveID,Cihaz_Belgeler,,clean,
sbt170,Sistem_DriveID,Personel_Belge,,clean,
sbt171,Sistem_DriveID,RKE_Rapor,,clean,
sbt172,Sistem_DriveID,Sozlesme,,clean,
sbt173,Sistem_DriveID,Satin_Alma_Belge,,clean,
sbt174,Sistem_DriveID,Kurumsal_Belge,,clean,
sbt175,Gorev_Yeri,Manyetik Rezonans,Çalışma Koşulu B,dirty,2026-03-17T22:45:52.149174
sbt176,Gorev_Yeri,Tomografi,Çalışma Koşulu A,dirty,2026-03-17T22:46:22.647876
sbt177,Gorev_Yeri,Poliklinik Röntgen,Çalışma Koşulu A,dirty,2026-03-17T22:46:55.744217
sbt178,Gorev_Yeri,Seyyar Grafi,Çalışma Koşulu A,dirty,2026-03-17T22:47:19.492026
sbt179,Gorev_Yeri,Ameliyathane,Çalışma Koşulu A,dirty,2026-03-17T22:47:39.690274
sbt180,Hizmet_Sinifi,Hasta Bakıcı / Temizlik Hizmetleri,,dirty,2026-03-17T22:48:09.573052
sbt181,Gorev_Yeri,Radyoloji Kayıt,Çalışma Koşulu B,dirty,2026-03-17T22:49:48.109181
sbt182,Gorev_Yeri,Ultrasonografi,Çalışma Koşulu B,dirty,2026-03-17T22:50:21.385891
sbt183,Gorev_Yeri,Mamografi,Çalışma Koşulu A,dirty,2026-03-17T22:50:44.491937
sbt184,Gorev_Yeri,Mamografi Usg,Çalışma Koşulu B,dirty,2026-03-17T22:51:16.807078
sbt185,Gorev_Yeri,Radyoloji Abd.,Çalışma Koşulu B,dirty,2026-03-18T20:23:36.248166
sbt186,Gorev_Yeri,Acil USG,Çalışma Koşulu B,clean,
sbt187,Gorev_Yeri,Baş Hemşire,Çalışma Koşulu B,clean,
sbt188,Gorev_Yeri,Esenyurt Yerleşkesi,Çalışma Koşulu A,clean,
sbt190,Gorev_Yeri,Mamografi Kayıt,Çalışma Koşulu B,clean,
sbt191,Gorev_Yeri,Pediatrik Radyoloji,Çalışma Koşulu B,clean,
sbt192,Gorev_Yeri,Radyoloji Sekreterlik,Çalışma Koşulu B,clean,
sbt193,Gorev_Yeri,Rapor Sekreteri,Çalışma Koşulu B,clean,
sbt194,Gorev_Yeri,USG Kayıt,Çalışma Koşulu B,clean,
sbt195,Gorev_Yeri,Vatan Yerleşkesi,Çalışma Koşulu A,clean,
sbt196,Birim,Tomografi,BT,dirty,2026-03-23T11:56:46.650443
